Complain,TenureGroup,样本提示,指标,数值
0,0-12个月,可观察,平均满意度,3.079055826152117
0,0-12个月,可观察,流失人数,397.0
0,0-12个月,可观察,流失率,0.14874484825777445
0,0-12个月,可观察,用户数,2669.0
0,13-24个月,可观察,平均满意度,3.1595441595441596
0,13-24个月,可观察,流失人数,43.0
0,13-24个月,可观察,流失率,0.04083570750237417
0,13-24个月,可观察,用户数,1053.0
0,25-48个月,可观察,平均满意度,2.9966887417218544
0,25-48个月,可观察,流失人数,0.0
0,25-48个月,可观察,流失率,0.0
0,25-48个月,可观察,用户数,302.0
0,48个月以上,小样本,平均满意度,3.0
0,48个月以上,小样本,流失人数,0.0
0,48个月以上,小样本,流失率,0.0
0,48个月以上,小样本,用户数,2.0
1,0-12个月,可观察,平均满意度,3.012206572769953
1,0-12个月,可观察,流失人数,456.0
1,0-12个月,可观察,流失率,0.428169014084507
1,0-12个月,可观察,用户数,1065.0
1,13-24个月,可观察,平均满意度,2.9057971014492754
1,13-24个月,可观察,流失人数,52.0
1,13-24个月,可观察,流失率,0.12560386473429952
1,13-24个月,可观察,用户数,414.0
1,25-48个月,可观察,平均满意度,3.227642276422764
1,25-48个月,可观察,流失人数,0.0
1,25-48个月,可观察,流失率,0.0
1,25-48个月,可观察,用户数,123.0
1,48个月以上,小样本,平均满意度,1.0
1,48个月以上,小样本,流失人数,0.0
1,48个月以上,小样本,流失率,0.0
1,48个月以上,小样本,用户数,2.0
